file_path,file_type,approx_line_count,status(active/legacy/unclear),primary_responsibility,criticality(low/medium/high),imported_by_count,depends_on_count,notes
ARCHITECTURE_WORKFLOW_ASSESSMENT.md,documentation,44,unclear,Project documentation or support artifact,low,0,0,
App.tsx,other,307,active,"Auth gating, routing shell, navigation, status banners",high,1,15,
FREIGHT_INQUIRY_UI_LATEST_UPDATES.md,documentation,39,unclear,Project documentation or support artifact,low,0,0,
PROCUREMENT_PHASE0_DECISIONS.md,documentation,27,unclear,Project documentation or support artifact,low,0,0,
README.md,documentation,77,unclear,Project operational guidance and migration order,low,0,0,
SECURITY_HARDENING_FIRESTORE.md,documentation,64,unclear,Project documentation or support artifact,low,0,0,
SYSTEM_ARCHITECTURE_REPORT.md,documentation,826,unclear,Project documentation or support artifact,low,0,0,
api/cloudinary-sign-upload.ts,backend-handler,42,unclear,API route for Cloudinary signed upload payload,low,0,0,Duplicates Netlify function handler logic.
components/ExportModal.tsx,component,63,active,Export format selection modal,low,0,1,
components/UploadImportModal.tsx,component,155,active,Import workflow modal with progress/errors,low,0,2,
components/ui.tsx,component,201,active,Reusable UI primitives,medium,3,0,
cors.json,config,12,unclear,Project documentation or support artifact,low,0,0,
firebase.json,config,5,active,Firebase config mapping rules file,low,0,0,
firestore.rules,config,52,active,Firestore security policy,high,0,0,
index.html,config,114,active,Web app host HTML shell,low,0,0,
index.tsx,other,18,active,React entry bootstrap and behavior logger initialization,high,0,2,
metadata.json,config,7,unclear,Project documentation or support artifact,low,0,0,
netlify.toml,config,0,unclear,Netlify config placeholder,low,0,0,
netlify/functions/cloudinary-sign-upload.ts,backend-handler,38,unclear,Netlify function for Cloudinary signed upload payload,low,0,0,
package.json,config,40,active,NPM scripts and dependencies,high,0,0,
pages/Admin.tsx,page,2040,active,Inventory management and category/variant administration,medium,1,8,
pages/Auth.tsx,page,307,active,Authentication page UX,medium,1,2,
pages/ClassicPOS.tsx,page,1836,legacy,Standalone legacy/demo POS implementation,medium,0,0,Not routed in App.tsx; likely legacy/demo.
pages/Customers.tsx,page,1496,active,"Customer ledger, payments, upfront orders",medium,1,10,
pages/Finance.tsx,page,2899,active,"Cashbook, shift, expense, profitability analytics",medium,1,6,
pages/FreightBooking.tsx,page,1056,active,Freight inquiry and confirmed-order conversion flow,medium,1,4,
pages/PurchasePanel.tsx,page,841,active,Purchase order creation and receiving,medium,1,6,
pages/Reports.tsx,page,323,active,PDF/Excel reporting pages,medium,1,5,
pages/Sales.tsx,page,1517,active,POS checkout and return workflows,medium,1,9,
pages/Settings.tsx,page,233,active,Store profile and configuration settings,medium,1,4,
pages/Transactions.tsx,page,1951,active,Transaction browsing/editing/deletion/audit views,medium,1,10,
pages/VerificationRequired.tsx,page,57,active,Email verification-required screen,medium,1,2,
scripts/backfill-customer-product-stats.js,script,118,active,Backfill script for customer-product stats subcollection,low,0,0,
scripts/migrate-images-to-cloudinary.js,script,249,active,Image migration script from Firebase URLs to Cloudinary,low,0,0,
scripts/verify-customer-product-stats-backfill.js,script,95,active,Backfill verification script,low,0,0,
scripts/verify-image-migration-status.js,script,129,active,Image migration verification script,low,0,0,
services/auth.ts,service,128,active,Firebase auth workflows and user bootstrap,high,1,1,
services/behaviorLogger.ts,service,429,active,Client telemetry/event logging instrumentation,low,1,0,
services/excel.ts,service,599,active,Excel exports,medium,0,4,
services/financeLogger.ts,service,14,active,Finance debug logging wrapper,low,1,0,
services/firebase.ts,service,33,active,Firebase app/auth/firestore initialization,high,3,0,
services/gemini.ts,service,39,unclear,Gemini text generation helpers,low,0,0,No local importers found in current codebase.
services/importExcel.ts,service,1047,active,Template generation and import parsing/validation,medium,0,3,
services/numberFormat.ts,service,29,active,Money formatting helpers,low,2,0,
services/pdf.ts,service,467,active,Invoice PDF and thermal print generation,medium,0,4,
services/productVariants.ts,service,82,active,Variant/color stock helpers,low,4,1,
services/stockBuckets.ts,service,44,active,Cart stock bucket aggregation helpers,low,1,2,
services/storage.ts,service,4613,active,"Core data orchestration, cloud sync, domain mutations",high,4,4,
tsconfig.json,config,29,unclear,Project documentation or support artifact,low,0,0,
types.ts,other,545,active,Shared domain interfaces and app state schema,high,0,0,
vite.config.ts,config,23,active,Vite build configuration,low,0,0,
