risk ID,title,affected files,affected domain,description,likelihood,impact,migration sensitivity,mitigation,validation needed before migration,recommended phase to address
R-001,God-module decomposition risk,services/storage.ts,Core domain orchestration,Single file mixes cloud sync domain logic and persistence side effects,High,High,High,Introduce façade and extract modules incrementally with parity tests,Golden transaction fixture comparisons before and after extraction,Phase 1 foundation
R-002,Transaction reconciliation drift,services/storage.ts pages/Transactions.tsx,Transactions,Update/delete paths reconcile stock due credit and audit records with complex branching,Medium,High,High,Isolate reconciliation engine and add deterministic tests,Replay historical update/delete scenarios and compare state snapshots,Phase 1 domain hardening
R-003,Sale settlement mismatch,services/storage.ts pages/Sales.tsx pages/Finance.tsx,POS/Finance,Cash online credit split may diverge if API contracts flatten semantics,Medium,High,High,Define explicit settlement contract and schema versioning,Validate mixed payment and credit scenarios,Phase 1 API contract design
R-004,Return mode behavior regression,services/storage.ts pages/Sales.tsx,Returns,Four return handling modes affect refund channels and due/store credit differently,Medium,High,High,Encode return mode matrix tests and migration invariants,Manual + automated matrix for each mode and customer due state,Phase 1 domain hardening
R-005,Stock bucket identity break,services/productVariants.ts services/stockBuckets.ts services/storage.ts,Inventory,Variant color key normalization must remain stable across all flows,Medium,High,High,Freeze key generation rules and map to backend contract,Round-trip tests for variant/color stock updates and returns,Phase 1 inventory extraction
R-006,Event synchronization race,services/storage.ts App.tsx pages/*.tsx,State sync,Custom events plus storage events may produce stale UI race conditions,High,Medium,Medium,Move to typed data hooks and normalized store subscription layer,Stress test rapid writes and tab synchronization,Phase 1 frontend stabilization
R-007,Cloud write guard bypass in migration,services/storage.ts firestore.rules,Security,Online auth hydrated store preconditions currently enforced in client + rules,Medium,High,High,Replicate guards in backend middleware and preserve rules until cutover,Negative tests for unverified or unauthenticated writes,Phase 1 backend foundation
R-008,Rules parity loss,firestore.rules future backend authz,Security,Current owner verified gating may be weakened during backend extraction,Medium,High,High,Create explicit authz policy document and middleware tests,Policy conformance test suite,Phase 1 backend foundation
R-009,Legacy schema blind spot,scripts/* services/storage.ts,Data migration,Scripts reference legacy products schemas in addition to subcollections,Medium,Medium,Medium,Inventory all schema variants and decide migration support policy,Run verification scripts and document live usage,Phase 0.5 data discovery
R-010,Cloudinary endpoint ambiguity,api/cloudinary-sign-upload.ts netlify/functions/cloudinary-sign-upload.ts,Media infra,Dual handlers may diverge across environments,High,Medium,Medium,Select canonical endpoint strategy and deprecate duplicate path,Environment integration test for signing/upload,Phase 1 infra normalization
R-011,Finance shift close inaccuracies,pages/Finance.tsx services/storage.ts,Finance,Cash session close computes totals from multiple data sources with correction overlays,Medium,High,High,Extract pure finance calculator module and freeze formulas,Golden cashbook/shift fixture validation,Phase 1 finance extraction
R-012,Import pipeline data corruption,services/importExcel.ts services/storage.ts,Data import,Bulk imports can mutate many entities and rely on strict validation assumptions,Medium,High,High,Add dry-run mode and row-level audit output in migration tools,Test malformed and edge-case import files,Phase 2 migration tooling
R-013,Procurement lineage break,pages/FreightBooking.tsx pages/PurchasePanel.tsx services/storage.ts,Procurement,Inquiry confirmed purchase receipt lineage must remain intact,Medium,High,High,Define immutable lineage ids and enforce in backend model,End-to-end lifecycle scenario tests,Phase 2 procurement migration
R-014,Large page refactor regression,pages/Finance.tsx pages/Admin.tsx pages/Transactions.tsx pages/Sales.tsx,Frontend architecture,Massive component state and handlers increase accidental behavior drift risk,High,Medium,Medium,Refactor by hook extraction without behavior change first,UI regression checklist and snapshot tests,Phase 1 frontend stabilization
R-015,Telemetry side-effect changes,services/behaviorLogger.ts,Observability,Fetch/XHR monkey patch behavior may change under Next.js runtime boundaries,Medium,Medium,Medium,Replace with explicit instrumentation layer in client boundary,Verify network logging coverage and error capture,Phase 2 observability
R-016,Auth onboarding behavior mismatch,services/auth.ts pages/Auth.tsx,Auth UX,Generic responses and verification resend/login interplay may break user flow parity,Medium,Medium,Medium,Document auth UX contract before backend split,Manual auth UX test matrix,Phase 1 auth migration
R-017,Do-not-break report output drift,services/excel.ts services/pdf.ts pages/Reports.tsx,Reporting,External users depend on export column and format expectations,Medium,Medium,Medium,Version report schemas and compare generated artifacts,Golden file diff tests for exports,Phase 2 reporting migration
R-018,Store bootstrap missing in new backend,services/storage.ts services/auth.ts,Provisioning,Current system auto-initializes store document for verified login,Medium,High,High,Implement explicit provisioning endpoint/workflow,Test first-login new tenant setup,Phase 1 backend foundation
